# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	650
#@/user_id	532af1a8-603d-4b17-9110-0468e8e0d5e5
a 	啊	c=1 d=0.956411 t=650
an 	按	c=1 d=0.97531 t=650
an zhuang 	安装	c=5 d=4.10469 t=650
an zhuang le 	安装了	c=1 d=0.878095 t=650
ba 	把	c=3 d=1.96363 t=650
bang 	帮	c=1 d=0.818731 t=650
bang wo 	帮我	c=5 d=3.10504 t=650
bao 	包	c=1 d=0.88692 t=650
bao 	报	c=1 d=0.913931 t=650
bao chu 	抱出	c=1 d=0.798516 t=650
bao cuo 	报错	c=8 d=6.16603 t=650
bi ru 	比如	c=1 d=0.88692 t=650
bian 	遍	c=1 d=0.913931 t=650
bian dao 	变到	c=1 d=0.67032 t=650
bie ren 	别人	c=1 d=0.767206 t=650
bu dui 	不对	c=2 d=1.86936 t=650
bu gao 	不高	c=1 d=1.00532 t=650
bu gao a 	不高啊	c=1 d=0.918512 t=650
bu guan yong 	不管用	c=2 d=1.70565 t=650
bu guo 	不过	c=1 d=0.904837 t=650
bu hao 	不好	c=1 d=0.937067 t=650
bu neng 	不能	c=2 d=1.61762 t=650
bu pao 	不跑	c=1 d=0.951229 t=650
bu xiang 	不想	c=1 d=0.918512 t=650
bu xiao shi 	不晓事	c=1 d=0.937067 t=650
bu xing 	不行	c=2 d=1.67589 t=650
bu xu yao 	不需要	c=1 d=0.946485 t=650
bu zheng chang 	不正常	c=2 d=1.98511 t=650
bu zhi dao 	不知道	c=1 d=0.869358 t=650
cai 	才	c=1 d=0.970446 t=650
cai jian 	裁剪	c=1 d=0.965605 t=650
cha jian 	插件	c=1 d=0.941765 t=650
cha kan 	查看	c=4 d=2.55089 t=650
cheng xu 	程序	c=1 d=0.923116 t=650
chong 	冲	c=1 d=0.927743 t=650
chong ming ming 	重命名	c=1 d=0.955997 t=650
chong xin 	重新	c=1 d=0.99005 t=650
chong zhuang 	重装	c=1 d=0.932394 t=650
ci wai 	此外	c=1 d=0.909373 t=650
cuo guo 	错过	c=1 d=0.995012 t=650
cuo wu 	错误	c=3 d=2.17781 t=650
da kai 	打开	c=2 d=1.50816 t=650
da xiao 	大小	c=1 d=0.847894 t=650
da zi 	打字	c=2 d=1.90032 t=650
dai ma 	代码	c=1 d=0.869358 t=650
dan shi 	但是	c=3 d=2.14775 t=650
dang qian 	当前	c=2 d=1.61753 t=650
dao 	到	c=3 d=2.43048 t=650
de 	的	c=41 d=17.3508 t=650
deng 	等	c=3 d=2.57087 t=650
deng lu 	登录	c=1 d=0.774916 t=650
di 	地	c=1 d=0.99005 t=650
di se 	底色	c=1 d=0.913931 t=650
di yi ge 	第一个	c=1 d=0.852144 t=650
dian nao 	电脑	c=1 d=0.927743 t=650
ding 	顶	c=1 d=0.951229 t=650
ding lan 	顶栏	c=2 d=1.29511 t=650
dong xi lu 	东西路	c=1 d=0.891366 t=650
dou 	都	c=3 d=2.57446 t=650
duo 	多	c=1 d=0.99005 t=650
er guo 	而过	c=1 d=1 t=650
fei 	飞	c=1 d=0.965605 t=650
feng zhi 	峰值	c=1 d=0.946485 t=650
fu zhi 	复制	c=4 d=2.7798 t=650
gai 	该	c=4 d=2.68987 t=650
gai yi xia 	改一下	c=1 d=0.951229 t=650
gan shen me 	干什么	c=1 d=0.918512 t=650
gang 	刚	c=1 d=0.980199 t=650
gang gang 	刚刚	c=1 d=0.985112 t=650
gao liang 	高亮	c=1 d=0.909373 t=650
ge 	个	c=1 d=0.951229 t=650
gei chu 	给出	c=0 d=0.0704688 t=650
geng xin 	更新	c=1 d=0.852144 t=650
guan cha dao 	观察到	c=1 d=0.927743 t=650
guan li qi 	管理器	c=1 d=0.729789 t=650
guang biao 	光标	c=1 d=0.995012 t=650
